"keyword.match.theme/politics-and-society","M52/language","keyword.match.theme/technology","keyword.match.theme/covid-19","keyword.match.theme/geopolitics","keyword.match.theme/environment","keyword.match.theme/military-and-security","keyword.match.theme/economy","keyword.match.theme/chinese-culture-and-people"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","true"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"true","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"true","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","true","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","true","true","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","true"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","true","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","true","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","true","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","true","false","false","false","false","true","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","true","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","true","false","false","false","false","false"
"false","fr","true","true","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","true","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","true","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"true","fr","true","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","true","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","true","false","false","false","true","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","true","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","true","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","true"
"false","fr","false","true","false","false","false","true","false"
"true","fr","false","true","true","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"true","fr","false","true","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","true","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","true","false","false","false","true","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","true","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
"false","fr","false","false","false","false","false","false","false"
